operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,input_size,hidden_size,batch_size,time_step
Cell Update_t1,1,22857,0.00043929600715637206,28672000,5.4391118522907995e-05,3.4118082851364306e-05,1.4027101499450886e-05,6.2459341720928065e-06,4,640,22400,640,1
Hidden Update_t1,1,22857,0.00035225600004196167,28672000,5.8055482660999613e-05,3.542336167683402e-05,1.5680349488714673e-05,6.951771495450921e-06,4,640,22400,640,1
h_Gates_t2,1,22857,0.020257791519165038,2569011200000,6.551592827374675e-05,4.0031420915909166e-05,1.7650438564782928e-05,7.834068793054664e-06,4,640,22400,640,2
Gates_t2,10,22857,0.0013537280559539795,73400320000,7.478017683041866e-05,4.673781517539055e-05,1.9450451949238842e-05,8.591909705789271e-06,4,640,22400,640,2
Activations_t2,10,22857,0.0004833280146121979,57344000,8.052476958772925e-05,5.021059572385411e-05,2.1024341263904743e-05,9.289832599970404e-06,4,640,22400,640,2
Cell Update_t2,10,22857,0.000449535995721817,28672000,8.619026411383745e-05,5.353476505476351e-05,2.2642838947590778e-05,1.0012660111483158e-05,4,640,22400,640,2
Hidden Update_t2,1,22857,0.0002990080118179321,28672000,9.115431203993346e-05,5.612393379905711e-05,2.4284881094555782e-05,1.0745497146320563e-05,4,640,22400,640,2
h_Gates_t3,1,22857,0.02000383949279785,2569011200000,9.849485071819505e-05,6.072588191585737e-05,2.6152402310795127e-05,1.161656649154255e-05,4,640,22400,640,3
Gates_t3,10,22857,0.0013158400058746339,73400320000,0.00010585062900091412,6.574255260005657e-05,2.777126055032394e-05,1.2336815850533612e-05,4,640,22400,640,3
Activations_t3,10,22857,0.0004710400104522705,57344000,0.00010955186701934977,6.704755364239645e-05,2.9444428555523423e-05,1.3059884821429889e-05,4,640,22400,640,3
Cell Update_t3,10,22857,0.0004485119879245758,28672000,0.00011669074550730217,7.177311297823508e-05,3.115139769887512e-05,1.3766234830191967e-05,4,640,22400,640,3
Hidden Update_t3,1,22857,0.0002969599962234497,28672000,0.00012415876243218246,7.636700554769504e-05,3.315738541477542e-05,1.4634371469712013e-05,4,640,22400,640,3
h_Gates_t0,0,32857,0.024415231704711913,3355443200000,5.070179322813366e-07,0.0,3.8732919875204743e-07,1.1968873352928918e-07,4,640,25600,640,0
Gates_t0,0,32857,0.001346560001373291,83886080000,1.1986756492770773e-05,8.311951106065862e-06,2.5253111869125763e-06,1.1494941997923345e-06,4,640,25600,640,0
