operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,memory_access,d_model
Attention Scores,0,819,0.0004859903991222381,3758096384,7.850571602601091e-05,3.784141916227668e-05,3.206040059274525e-05,8.603896270988986e-06,256,3794796544,448
attention_softmax,0,819,0.0002074624001979828,131072,0.0001220336525524198,5.886532486982787e-05,4.9556775034278154e-05,1.3611552648313765e-05,256,3794796544,448
Attention Output,0,819,0.0004130815982818604,3758096384,0.000168060380634768,8.145034293960407e-05,6.778039033538087e-05,1.882964735978302e-05,256,3794796544,448
Final Projection,0,819,0.00035901439189910887,6576668672,0.00021621653023627725,0.00010403658322957198,8.750343272491317e-05,2.4676514281792064e-05,256,3794796544,448
QKV Projections,0,873,0.0007366656064987183,25769803776,2.0275462037432668e-05,9.113118400705389e-06,8.617700727488013e-06,2.5446429092392655e-06,256,4336910336,512
Attention Scores,0,873,0.00048476159572601317,4294967296,6.901860230247674e-05,3.220080353898425e-05,2.850650947185578e-05,8.311289291636706e-06,256,4336910336,512
attention_softmax,0,873,0.00021319679915905,131072,0.00012314350000293536,5.8902213786637955e-05,4.973981606959839e-05,1.4501470146698991e-05,256,4336910336,512
Attention Output,0,873,0.000473907208442688,4294967296,0.00017103370938226976,8.146973184324225e-05,6.933568624628225e-05,2.022829129274528e-05,256,4336910336,512
Final Projection,0,873,0.0003817472040653229,8589934592,0.0002190498573570206,0.00010446386134717045,8.865058097596361e-05,2.5935415033886532e-05,256,4336910336,512
QKV Projections,0,923,0.0008513535976409912,32614907904,2.1787807039206818e-05,1.0397341648626935e-05,8.94660826839342e-06,2.443857122186461e-06,256,4879024128,576
Attention Scores,0,923,0.0005224448025226592,4831838208,6.853357648277236e-05,3.316469319400994e-05,2.7637306165383732e-05,7.73157712337868e-06,256,4879024128,576
attention_softmax,0,923,0.0001990656018257141,131072,0.00011580350220872066,5.576110016178859e-05,4.6653454156067844e-05,1.3388947890864227e-05,256,4879024128,576
Attention Output,0,923,0.0004626432001590728,4831838208,0.0001645619445916245,7.900806320222386e-05,6.630313159801905e-05,1.925074979138158e-05,256,4879024128,576
Final Projection,0,923,0.0004100096046924591,10871635968,0.00021665454506138436,0.00010448241691634053,8.686113554440953e-05,2.5310992600634312e-05,256,4879024128,576
QKV Projections,0,969,0.000861184012889862,40265318400,2.2264081928716336e-05,1.0315230472457415e-05,9.36477260292225e-06,2.584078853336674e-06,256,5421137920,640
Attention Scores,0,969,0.0005099519968032836,5368709120,6.7596501511959e-05,3.191513664191348e-05,2.7761208764503793e-05,7.920156105541737e-06,256,5421137920,640
attention_softmax,0,969,0.00020213759839534762,131072,0.00011113518441497328,5.3527987265766797e-05,4.479790011606881e-05,1.2809297033137651e-05,256,5421137920,640
Attention Output,0,969,0.0004413439989089966,5368709120,0.00016533561741676308,7.947089690958364e-05,6.65972017221625e-05,1.9267518785016895e-05,256,5421137920,640
Final Projection,0,969,0.0004448256075382232,13421772800,0.00022412409986349386,0.00010776797510274605,9.00313986917276e-05,2.632472606902017e-05,256,5421137920,640
QKV Projections,1,1021,0.0008988672018051147,48721035264,2.3990596991104242e-05,1.1488175859852845e-05,9.657347670315002e-06,2.845073460936395e-06,256,5963251712,704
Attention Scores,0,1021,0.0005236735939979553,5905580032,7.450344360232682e-05,3.599680657870863e-05,2.969136358640422e-05,8.815273437213967e-06,256,5963251712,704
attention_softmax,0,1021,0.00020398079752922057,131072,0.00012186428539779928,5.882204706111338e-05,4.867198660422345e-05,1.437025173246247e-05,256,5963251712,704
Attention Output,0,1021,0.0004624383985996247,5905580032,0.00016722384764577929,8.02428975319458e-05,6.72319336188363e-05,1.9749016494997232e-05,256,5963251712,704
Final Projection,0,1021,0.0004427775979042053,16240345088,0.0002175080333377775,0.00010427625009157282,8.742233893781456e-05,2.5809444308390145e-05,256,5963251712,704
QKV Projections,1,1113,0.0009414656162261963,57982058496,2.4177202511577683e-05,1.126889790228347e-05,1.019074926370345e-05,2.7175553455907633e-06,256,6505365504,768
Attention Scores,0,1113,0.0005249024033546449,6442450944,7.91644100089909e-05,3.78403636027258e-05,3.23195409667229e-05,9.004505439542202e-06,256,6505365504,768
attention_softmax,0,1113,0.0001970176011323929,131072,0.00013523902251963866,6.459460722609833e-05,5.502139240596681e-05,1.5623022887573506e-05,256,6505365504,768
Attention Output,0,1113,0.0004622335910797119,6442450944,0.00018801662109177499,9.055457244002695e-05,7.584272239635057e-05,2.1619326255397428e-05,256,6505365504,768
Final Projection,0,1113,0.00047185919880867003,19327352832,0.0002369879928694071,0.00011347742411089712,9.585668507417489e-05,2.7653883684335113e-05,256,6505365504,768
QKV Projections,1,1165,0.0011661311864852905,68048388096,2.0835975180482636e-05,9.712285546470412e-06,8.56102823770565e-06,2.5626613963065766e-06,256,7047479296,832
Attention Scores,0,1165,0.0005357567965984344,6979321856,6.452016540648038e-05,3.134041396108955e-05,2.563078789350271e-05,7.548963551888126e-06,256,7047479296,832
attention_softmax,0,1165,0.00020008959770202636,131072,0.00010918159641046988,5.269126437497107e-05,4.381756544291288e-05,1.2672766592585941e-05,256,7047479296,832
Attention Output,0,1165,0.000449535995721817,6979321856,0.00015981178850324522,7.711656169249182e-05,6.41293821923533e-05,1.8565844618400108e-05,256,7047479296,832
