,source,batch_size,input_size,hidden_size,component,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,peak,flops_per_second,HEF
8528,NVIDIA GeForce RTX 2080 Ti,2560,192,3840,compute_gates,0,3372,0.0032675840854644,15099494400,0.0001824099821889,7.374978122243192e-05,5.176429842031213e-05,5.689590254621693e-05,4,11340000000000.0,4620996431941.555,40.749528
8529,NVIDIA GeForce RTX 2080 Ti,2560,192,3840,hidden_gates,23,3372,0.0431564788818359,301989888000,0.0001700642163465,6.81711656476125e-05,4.854389515579291e-05,5.334915554310047e-05,4,11340000000000.0,6997556237775.096,61.706845
8530,NVIDIA GeForce RTX 2080 Ti,2560,192,4480,Activations,0,3372,0.0010936319828033,45875200,0.0001941678475549,7.957978588457593e-05,5.456176746431286e-05,6.0026294206100926e-05,4,11340000000000.0,41947566202.6712,0.369908
8531,NVIDIA GeForce RTX 2080 Ti,2560,192,4480,Cell Update,1,3372,0.0012206079959869,22937600,0.0002051059245568,8.381534482992947e-05,5.7751316743168806e-05,6.353926298370551e-05,4,11340000000000.0,18791946370.508762,0.165714
8532,NVIDIA GeForce RTX 2080 Ti,2560,192,4480,Hidden Update,0,3372,0.0007055360078811,22937600,0.0002159304141892,8.800118151164327e-05,6.091035060962896e-05,6.701888206801447e-05,4,11340000000000.0,32510884977.915325,0.286692
8533,NVIDIA GeForce RTX 2080 Ti,2560,192,4480,compute_gates,2,3372,0.0038112320899963,17616076800,0.000183138637634,7.526756021292158e-05,5.136553930990178e-05,5.650553811123116e-05,4,11340000000000.0,4622147479876.278,40.759678
8534,NVIDIA GeForce RTX 2080 Ti,2560,192,4480,hidden_gates,4,3372,0.0629452781677246,411041792000,0.0001702157837407,6.915811088070711e-05,4.812325448494651e-05,5.293441837511522e-05,4,11340000000000.0,6530144976160.627,57.585053
8535,NVIDIA GeForce RTX 2080 Ti,2560,192,5120,Activations,1,3372,0.0012408640384674,52428800,0.0002118413293165,9.828841196402038e-05,5.4055686767323006e-05,5.9497230585249045e-05,4,11340000000000.0,42251849013.81717,0.372591
8536,NVIDIA GeForce RTX 2080 Ti,2560,192,5120,Cell Update,0,3372,0.0013852479457855,26214400,0.0002240129802814,0.0001037200829756,5.7278806596069554e-05,6.301409070970922e-05,4,11340000000000.0,18923976808.451584,0.166878
8537,NVIDIA GeForce RTX 2080 Ti,2560,192,5120,Hidden Update,0,3372,0.0008065919876098,26214400,0.0002360508834831,0.0001090742539258,6.045967585175985e-05,6.651695370561127e-05,4,11340000000000.0,32500198864.709747,0.286598
8538,NVIDIA GeForce RTX 2080 Ti,2560,192,5120,compute_gates,0,3372,0.003911679983139,20132659200,0.0001997800400247,9.28578520635881e-05,5.0900214484055256e-05,5.602197347708192e-05,4,11340000000000.0,5146806304907.431,45.386299
8539,NVIDIA GeForce RTX 2080 Ti,2560,192,5120,hidden_gates,49,3372,0.0827228164672851,536870912000,0.0001841496207082,8.386840042717836e-05,4.7739601767130414e-05,5.254161851396298e-05,4,11340000000000.0,6489997982749.047,57.231023
8540,NVIDIA GeForce RTX 2080 Ti,2560,192,5760,Activations,1,3372,0.0014253760576248,58982400,0.0002236025567951,0.0001067870298747,5.568001910780569e-05,6.113550781262184e-05,4,11340000000000.0,41380237646.39792,0.364905
8541,NVIDIA GeForce RTX 2080 Ti,2560,192,5760,Cell Update,1,3372,0.00156672000885,29491200,0.0002358787418268,0.0001122703675946,5.891211147722465e-05,6.469626275496192e-05,4,11340000000000.0,18823529305.43541,0.165992
8542,NVIDIA GeForce RTX 2080 Ti,2560,192,5760,Hidden Update,0,3372,0.0008960000276565,29491200,0.0002480997564793,0.0001177142608383,6.213677197706097e-05,6.824872366384315e-05,4,11340000000000.0,32914284698.332684,0.290249
8543,NVIDIA GeForce RTX 2080 Ti,2560,192,5760,compute_gates,3,3372,0.0043815360069274,22649241600,0.0002109736963523,0.0001010881364269,5.236766808633951e-05,5.751789183909217e-05,4,11340000000000.0,5169246940842.335,45.584188
8544,NVIDIA GeForce RTX 2080 Ti,2560,192,5760,hidden_gates,70,3372,0.1180129241943359,679477248000,0.0001932010813378,9.02528499810984e-05,4.906076792516008e-05,5.388746343156647e-05,4,11340000000000.0,5757651144048.271,50.772938
8545,NVIDIA GeForce RTX 2080 Ti,2560,192,6400,Activations,0,3372,0.0015376960039138,65536000,0.0002339590973502,0.0001181367611753,5.51387994664967e-05,6.068353670837549e-05,4,11340000000000.0,42619607408.223335,0.375834
8546,NVIDIA GeForce RTX 2080 Ti,2560,192,6400,Cell Update,1,3372,0.001715360045433,32768000,0.0002466878537874,0.0001238378768473,5.8482329657999805e-05,6.436764728212306e-05,4,11340000000000.0,19102695138.10935,0.168454
8547,NVIDIA GeForce RTX 2080 Ti,2560,192,6400,Hidden Update,1,3372,0.0009849600195884,32768000,0.0002589595324747,0.0001293173256762,6.171456949078776e-05,6.792763730772064e-05,4,11340000000000.0,33268355413.74893,0.293372
8548,NVIDIA GeForce RTX 2080 Ti,2560,192,6400,compute_gates,3,3372,0.004850592136383,25165824000,0.0002213988042697,0.0001124370343941,5.187428729526195e-05,5.70874825804181e-05,4,11340000000000.0,5188196263964.94,45.75129
8549,NVIDIA GeForce RTX 2080 Ti,2560,192,6400,hidden_gates,69,3372,0.1448939514160156,838860800000,0.0002030082558838,0.0001008173028758,4.865196870976232e-05,5.353898429831004e-05,4,11340000000000.0,5789481146742.182,51.053626
8550,NVIDIA GeForce RTX 2080 Ti,2560,256,640,Activations,0,3372,0.0002191359996795,6553600,0.0002093255725767,9.319479677927234e-05,5.534063206303269e-05,6.079014373440692e-05,4,11340000000000.0,29906542099.814938,0.263726
8551,NVIDIA GeForce RTX 2080 Ti,2560,256,640,Cell Update,0,3372,0.0002457599937915,3276800,0.0002214241254644,9.85681344118916e-05,5.854115877389429e-05,6.431483227862713e-05,4,11340000000000.0,13333333670.166023,0.117578
8552,NVIDIA GeForce RTX 2080 Ti,2560,256,640,Hidden Update,0,3372,0.0002078720033168,3276800,0.000233514892926,0.0001039398053741,6.173866093611448e-05,6.783642661574781e-05,4,11340000000000.0,15763546546.506836,0.139008
8553,NVIDIA GeForce RTX 2080 Ti,2560,256,640,compute_gates,0,3372,0.0006786879897117,3355443200,0.0001972365808617,8.781645914268665e-05,5.21473572468191e-05,5.727276447224203e-05,4,11340000000000.0,4944014408484.463,43.598011
8554,NVIDIA GeForce RTX 2080 Ti,2560,256,640,hidden_gates,1,3372,0.0009635840058326,8388608000,0.0001847240049869,8.223117689709625e-05,4.884511629012801e-05,5.364771179968576e-05,4,11340000000000.0,8705632253361.958,76.769244
8555,NVIDIA GeForce RTX 2080 Ti,2560,256,1280,Activations,0,3372,0.0003981760144233,13107200,0.000213781238872,9.556646534214508e-05,5.62791014994016e-05,6.193567203045546e-05,4,11340000000000.0,32918105373.534042,0.290283
8556,NVIDIA GeForce RTX 2080 Ti,2560,256,1280,Cell Update,0,3372,0.0004020160138607,6553600,0.0002267291110578,0.0001013228588355,5.970037840395687e-05,6.57058738183677e-05,4,11340000000000.0,16301838170.732288,0.143755
8557,NVIDIA GeForce RTX 2080 Ti,2560,256,1280,Hidden Update,0,3372,0.0002651839852333,6553600,0.0002397175635863,0.000107093974563,6.313403174523652e-05,6.948955727797657e-05,4,11340000000000.0,24713407916.523926,0.217931
8558,NVIDIA GeForce RTX 2080 Ti,2560,256,1280,compute_gates,0,3372,0.0012124160528182,6710886400,0.0002006420440407,8.970951621201095e-05,5.281502415495601e-05,5.811750367377908e-05,4,11340000000000.0,5535134894000.193,48.810713
8559,NVIDIA GeForce RTX 2080 Ti,2560,256,1280,hidden_gates,2,3372,0.0035030078887939,33554432000,0.0001873473410012,8.369895584792175e-05,4.934998648653466e-05,5.429839866683e-05,4,11340000000000.0,9578748625528.482,84.468683
8560,NVIDIA GeForce RTX 2080 Ti,2560,256,1920,Activations,0,3372,0.0005130239725112,19660800,0.0002104735712949,9.303451887276992e-05,5.5912494837603947e-05,6.152655758461163e-05,4,11340000000000.0,38323355346.85132,0.337948
8561,NVIDIA GeForce RTX 2080 Ti,2560,256,1920,Cell Update,0,3372,0.0005680000185966,9830400,0.0002214988889018,9.731035562765555e-05,5.9124483490207545e-05,6.506404978402446e-05,4,11340000000000.0,17307041686.88005,0.152619
8562,NVIDIA GeForce RTX 2080 Ti,2560,256,1920,Hidden Update,0,3372,0.0003440639972686,9830400,0.0002327251861183,0.000101665081333,6.239872384038689e-05,6.866138094491174e-05,4,11340000000000.0,28571428798.24684,0.251953
8563,NVIDIA GeForce RTX 2080 Ti,2560,256,1920,compute_gates,1,3372,0.0019783999919891,10066329600,0.0001990212124523,8.856951530056278e-05,5.2587971732524846e-05,5.786372541930651e-05,4,11340000000000.0,5088116478346.337,44.868752
8564,NVIDIA GeForce RTX 2080 Ti,2560,256,1920,hidden_gates,5,3372,0.0091054077148437,75497472000,0.0001875021922646,8.397284495664792e-05,4.929432948297796e-05,5.423501782504494e-05,4,11340000000000.0,8291498235375.391,73.117268
8565,NVIDIA GeForce RTX 2080 Ti,2560,256,2560,Activations,0,3372,0.0006532160043716,26214400,0.0001959797579885,7.712645058788326e-05,5.66493035712079e-05,6.220400382945283e-05,4,11340000000000.0,40131288615.95867,0.353891
